device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
macbook-m4-pro,01-naive,random_dense,128,128,128,1,1.151083,3.643789,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,2,1.317959,3.182424,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,3,1.343875,3.121052,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,4,1.566958,2.676718,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,5,1.927875,2.175610,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,6,1.626333,2.578995,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,7,1.518250,2.762591,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,8,1.355083,3.095238,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,9,1.278500,3.280645,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,10,1.168500,3.589477,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,11,1.155958,3.628422,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,12,1.475250,2.843114,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,13,1.192333,3.517729,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,14,4.113666,1.019602,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,15,3.201417,1.310140,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,16,2.543250,1.649191,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,17,1.368666,3.064520,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,18,4.043208,1.037370,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,19,1.169459,3.586534,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,20,4.127417,1.016206,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,21,3.929583,1.067366,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,22,4.189791,1.001077,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,23,4.912417,0.853817,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,24,2.293750,1.828579,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,25,4.161542,1.007873,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,26,1.227333,3.417413,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,27,1.278250,3.281286,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,28,2.308833,1.816634,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,29,1.151667,3.641942,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,128,128,128,30,1.187792,3.531177,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,1,2.249875,1.864239,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,2,3.886292,1.079256,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,3,2.256500,1.858765,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,4,4.079959,1.028026,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,5,3.461750,1.211614,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,6,1.284917,3.264261,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,7,1.150000,3.647221,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,8,1.270000,3.302602,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,9,1.162791,3.607101,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,10,1.313625,3.192923,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,11,2.281833,1.838129,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,12,2.433292,1.723716,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,13,2.787250,1.504818,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,14,2.471542,1.697039,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,15,2.019167,2.077245,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,16,2.567375,1.633694,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,17,2.879417,1.456650,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,18,2.845625,1.473948,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,19,1.622083,2.585752,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,20,1.407667,2.979614,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,21,2.653750,1.580520,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,22,1.320083,3.177303,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,23,1.135167,3.694878,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,24,4.243416,0.988426,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,25,4.627500,0.906387,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,26,1.217000,3.446429,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,27,2.039333,2.056704,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,28,3.109750,1.348759,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,29,1.205375,3.479667,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,128,128,128,30,1.951083,2.149731,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,1,3.038583,1.380349,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,2,5.458000,0.768469,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,3,1.151125,3.643656,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,4,1.916542,2.188475,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,5,2.715250,1.544721,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,6,5.091666,0.823759,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,7,1.287083,3.258767,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,8,4.806584,0.872616,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,9,3.935583,1.065739,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,10,4.112250,1.019954,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,11,2.774833,1.511552,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,12,3.976333,1.054817,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,13,3.799833,1.103813,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,14,3.424709,1.224718,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,15,4.067125,1.031270,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,16,2.230042,1.880818,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,17,4.477792,0.936690,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,18,2.135958,1.963664,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,19,4.074750,1.029340,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,20,2.581875,1.624519,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,21,4.278291,0.980369,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,22,5.532833,0.758075,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,23,3.334166,1.257977,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,24,3.209625,1.306789,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,25,2.412542,1.738541,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,26,2.695500,1.556039,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,27,2.077500,2.018919,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,28,4.327125,0.969305,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,29,1.618917,2.590809,256,512,512,16,8
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,30,6.435875,0.651707,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,1,2.797292,1.499416,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,2,1.739417,2.411327,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,3,3.298916,1.271419,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,4,3.289375,1.275107,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,5,4.643708,0.903223,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,6,4.849000,0.864983,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,7,3.921708,1.069510,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,8,3.864791,1.085260,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,9,4.667125,0.898691,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,10,5.293167,0.792400,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,11,4.939125,0.849200,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,12,4.020208,1.043305,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,13,4.360167,0.961959,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,14,5.351958,0.783695,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,15,1.177917,3.560781,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,16,4.089958,1.025513,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,17,4.389500,0.955531,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,18,5.445292,0.770262,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,19,1.743958,2.405049,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,20,4.438000,0.945089,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,21,5.204083,0.805964,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,22,2.822292,1.486134,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,23,3.097541,1.354075,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,24,4.695458,0.893268,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,25,2.525292,1.660918,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,26,4.471208,0.938070,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,27,3.736041,1.122660,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,28,4.289000,0.977921,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,29,3.896000,1.076567,256,512,512,16,8
macbook-m4-pro,01-naive,diagonal,128,128,128,30,2.615792,1.603455,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,1,2.722125,1.540820,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,2,1.294125,3.241035,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,3,4.593333,0.913129,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,4,2.555708,1.641151,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,5,3.785166,1.108090,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,6,4.227959,0.992040,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,7,1.271500,3.298705,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,8,4.896458,0.856600,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,9,4.264542,0.983530,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,10,5.185000,0.808930,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,11,4.139500,1.013239,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,12,1.204375,3.482557,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,13,4.304417,0.974419,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,14,3.780292,1.109519,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,15,4.303917,0.974532,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,16,4.265916,0.983213,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,17,3.931625,1.066812,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,18,2.090167,2.006684,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,19,4.671458,0.897858,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,20,3.493875,1.200473,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,21,5.472750,0.766398,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,22,3.865292,1.085120,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,23,4.941250,0.848835,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,24,4.618875,0.908079,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,25,4.159292,1.008418,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,26,1.401167,2.993436,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,27,5.545000,0.756412,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,28,1.238417,3.386827,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,29,3.063625,1.369066,256,512,512,16,8
macbook-m4-pro,01-naive,banded,128,128,128,30,1.281917,3.271900,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,1,1.278459,3.280750,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,2,1.293709,3.242077,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,3,3.163666,1.325773,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,4,3.082791,1.360554,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,5,1.263666,3.319156,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,6,5.858500,0.715935,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,7,5.264917,0.796651,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,8,5.117750,0.819560,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,9,4.246292,0.987757,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,10,4.606709,0.910477,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,11,4.606917,0.910436,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,12,6.331000,0.662503,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,13,4.226417,0.992402,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,14,3.515500,1.193089,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,15,5.580459,0.751606,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,16,3.924458,1.068760,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,17,2.804583,1.495518,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,18,1.174959,3.569745,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,19,4.606125,0.910593,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,20,1.161375,3.611498,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,21,4.182125,1.002912,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,22,4.269208,0.982455,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,23,1.382708,3.033398,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,24,1.637625,2.561212,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,25,2.874209,1.459290,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,26,4.646083,0.902761,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,27,4.878750,0.859709,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,28,5.462166,0.767883,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,29,5.916333,0.708936,256,512,512,16,8
macbook-m4-pro,01-naive,block_sparse,128,128,128,30,5.158833,0.813033,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,1,9.153500,3.665749,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,2,9.189250,3.651488,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,3,9.850791,3.406268,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,4,9.591167,3.498472,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,5,10.401125,3.226039,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,6,9.312041,3.603338,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,7,9.312666,3.603096,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,8,10.293375,3.259809,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,9,11.563334,2.901796,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,10,10.304709,3.256223,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,11,9.380041,3.577216,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,12,9.954291,3.370851,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,13,9.390792,3.573121,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,14,11.354916,2.955058,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,15,10.419458,3.220363,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,16,11.451875,2.930038,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,17,10.604333,3.164219,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,18,10.466041,3.206029,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,19,9.939708,3.375797,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,20,12.879250,2.605309,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,21,9.996917,3.356478,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,22,9.594291,3.497333,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,23,11.737917,2.858636,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,24,12.279417,2.732575,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,25,11.598334,2.893039,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,26,12.091916,2.774947,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,27,12.133334,2.765475,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,28,11.465333,2.926599,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,29,11.627458,2.885793,256,512,512,16,8
macbook-m4-pro,01-naive,random_dense,256,256,256,30,11.922750,2.814320,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,256,256,256,1,11.888500,2.822428,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,256,256,256,2,12.311166,2.725528,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,256,256,256,3,12.344583,2.718150,256,512,512,16,8
macbook-m4-pro,01-naive,random_sparse,256,256,256,4,12.179292,2.755040,256,512,512,16,8
