device,impl,matrix_type,m,n,k,mblk,nblk,kblk,mmk,nmk,time_ms_mean,time_ms_std,time_ms_min,time_ms_max,gflops_mean,gflops_std,gflops_min,gflops_max
macbook-m4-pro,01-naive,banded,128,128,128,256,512,512,16,8,13.0926862,0.6444646214671951,10.646542,13.78225,0.32120793333333336,0.017986356405732172,0.304327,0.393959
macbook-m4-pro,01-naive,banded,256,256,256,256,512,512,16,8,82.6677014,1.9317593115634342,80.459333,91.934333,0.40609293333333335,0.008755304165469357,0.364983,0.417036
macbook-m4-pro,01-naive,banded,512,512,512,256,512,512,16,8,660.4859666,5.456247000847588,653.572709,673.900125,0.40644766666666665,0.0033294108035582825,0.398331,0.41072
macbook-m4-pro,01-naive,banded,1024,1024,1024,256,512,512,16,8,5294.9335403000005,29.081881621876352,5251.177208,5368.657834,0.40558506666666666,0.0022234283396613415,0.400004,0.408953
macbook-m4-pro,01-naive,block_sparse,128,128,128,256,512,512,16,8,13.306433433333332,0.7549536538428947,10.32675,14.913375,0.3163399,0.020786190811159483,0.281244,0.406159
macbook-m4-pro,01-naive,block_sparse,256,256,256,256,512,512,16,8,85.69906246666666,0.6178377103122191,84.801791,87.810333,0.3915573666666667,0.002799004693585323,0.382124,0.395681
macbook-m4-pro,01-naive,block_sparse,512,512,512,256,512,512,16,8,709.7022167666667,5.042937713379513,703.363583,727.678958,0.3782550333333334,0.002658574293622909,0.368893,0.381645
macbook-m4-pro,01-naive,block_sparse,1024,1024,1024,256,512,512,16,8,5779.536977666667,23.84389032188048,5734.572833,5858.681333,0.37157273333333335,0.0015262645618121563,0.366547,0.37448
macbook-m4-pro,01-naive,dense_no_zero,128,128,128,256,512,512,16,8,12.069863999999999,1.1756574072332528,9.9985,13.534625,0.35092803333333333,0.036446171458252866,0.309894,0.419493
macbook-m4-pro,01-naive,dense_no_zero,256,256,256,256,512,512,16,8,80.56067490000001,0.525674738005476,80.018875,82.288958,0.4165282666666667,0.0026919387953965295,0.407763,0.419331
macbook-m4-pro,01-naive,dense_no_zero,512,512,512,256,512,512,16,8,655.7502499666666,4.67964769569934,650.928667,666.095084,0.40937629999999997,0.002896340213275097,0.402999,0.412388
macbook-m4-pro,01-naive,dense_no_zero,1024,1024,1024,256,512,512,16,8,5213.615825,23.62047660445805,5176.343667,5283.357375,0.41190730000000003,0.0018615548034390157,0.406462,0.414865
macbook-m4-pro,01-naive,diagonal,128,128,128,256,512,512,16,8,10.777758366666665,0.7910831903783608,10.152125,12.903584,0.3909550333333333,0.025294011517630475,0.32505,0.413145
macbook-m4-pro,01-naive,diagonal,256,256,256,256,512,512,16,8,81.07209303333335,2.365653681707016,79.126458,93.16525,0.4141852333333333,0.010690682442276982,0.36016,0.424061
macbook-m4-pro,01-naive,diagonal,512,512,512,256,512,512,16,8,657.2239485666666,5.794084552111248,651.928666,680.121125,0.4084684,0.0035253753197110075,0.394688,0.411756
macbook-m4-pro,01-naive,diagonal,1024,1024,1024,256,512,512,16,8,5318.153095766666,43.264916930527356,5250.797667,5403.221709,0.4038283,0.003279205224882466,0.397445,0.408982
macbook-m4-pro,01-naive,random_dense,128,128,128,256,512,512,16,8,10.937413966666666,0.93142654070989,10.00075,13.416542,0.3860037,0.030740346353634006,0.312622,0.419399
macbook-m4-pro,01-naive,random_dense,256,256,256,256,512,512,16,8,81.28288886666665,2.052001305847936,79.330708,87.997125,0.4130512,0.009867803743348435,0.381313,0.422969
macbook-m4-pro,01-naive,random_dense,512,512,512,256,512,512,16,8,654.5233153333334,4.884968981150189,647.931292,672.101916,0.4101453333333333,0.0030178277222067547,0.399397,0.414296
macbook-m4-pro,01-naive,random_dense,1024,1024,1024,256,512,512,16,8,5310.1611778,20.608880765412223,5272.288458,5351.730958,0.4044161333333333,0.0015681501892650307,0.401269,0.407315
macbook-m4-pro,01-naive,random_sparse,128,128,128,256,512,512,16,8,13.556802733333333,0.25306855696212455,12.962333,13.875667,0.30949366666666667,0.005887325956624129,0.302278,0.323576
macbook-m4-pro,01-naive,random_sparse,256,256,256,256,512,512,16,8,89.0032179,2.3720004541602075,87.060833,100.67425,0.37723656666666666,0.009095142381715549,0.333297,0.385414
macbook-m4-pro,01-naive,random_sparse,512,512,512,256,512,512,16,8,727.7750125666666,8.148438632658143,720.523083,755.587084,0.3688879,0.004049151484975074,0.355267,0.372556
macbook-m4-pro,01-naive,random_sparse,1024,1024,1024,256,512,512,16,8,5893.6377790999995,25.32425676710346,5858.367792,5967.537875,0.36437976666666666,0.0015577578644859467,0.359861,0.366567
macbook-m4-pro,02-coded,banded,128,128,128,256,512,512,16,8,0.3211751,0.023149139536179676,0.288875,0.419959,13.114072966666667,0.7921984865078598,9.987413,14.519443
macbook-m4-pro,02-coded,banded,256,256,256,256,512,512,16,8,1.9257042,0.12341208126390894,1.786542,2.561542,17.4782755,0.8714430991262381,13.09931,18.781776
macbook-m4-pro,02-coded,banded,512,512,512,256,512,512,16,8,13.143534666666666,0.12576133937558162,12.879958,13.361458,20.425197466666667,0.196069338386429,20.090282,20.84133
macbook-m4-pro,02-coded,banded,1024,1024,1024,256,512,512,16,8,101.16992213333333,2.314822984265459,100.106834,113.320209,21.2361547,0.43643380693827016,18.95058,21.451919
