device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
samsung-a52,02-coded,random_dense,128,128,128,1,0.643437,6.518593,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,2,0.761354,5.509006,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,3,0.953646,4.398177,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,4,1.020625,4.109545,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,5,0.960417,4.367170,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,6,0.969531,4.326116,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,7,0.958750,4.374763,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,8,0.958385,4.376429,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,9,1.005938,4.169545,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,10,0.762813,5.498469,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,11,0.532240,7.880475,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,12,0.952292,4.404431,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,13,0.368907,11.369543,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,14,0.965261,4.345254,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,15,1.005469,4.171490,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,16,1.019531,4.113954,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,17,0.978906,4.284685,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,18,0.967031,4.337300,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,19,0.954948,4.392181,64,128,256,16,8
samsung-a52,02-coded,random_dense,128,128,128,20,0.950000,4.415057,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,1,3.204115,10.472293,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,2,1.967344,17.055701,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,3,3.145625,10.667016,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,4,1.961093,17.110067,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,5,4.721458,7.106795,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,6,2.091511,16.043153,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,7,4.052657,8.279613,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,8,2.883178,11.638002,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,9,5.207136,6.443932,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,10,3.317657,10.113894,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,11,1.958906,17.129169,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,12,2.645572,12.683243,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,13,2.480521,13.527171,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,14,3.681979,9.113151,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,15,1.961667,17.105060,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,16,3.476354,9.652191,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,17,1.978437,16.960071,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,18,3.445573,9.738419,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,19,1.967656,17.052997,64,128,256,16,8
samsung-a52,02-coded,random_dense,256,256,256,20,3.813646,8.798518,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,1,11.676510,22.989357,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,2,8.723854,30.770283,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,3,8.740052,30.713256,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,4,11.160521,24.052233,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,5,9.783125,27.438621,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,6,8.693750,30.876832,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,7,11.535938,23.269495,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,8,12.253958,21.906021,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,9,8.668802,30.965692,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,10,11.510157,23.321616,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,11,8.721250,30.779470,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,12,11.682865,22.976852,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,13,11.436562,23.471692,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,14,12.109583,22.167192,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,15,11.914843,22.529500,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,16,11.345938,23.659168,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,17,12.156510,22.081622,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,18,9.542240,28.131283,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,19,11.662292,23.017384,64,128,256,16,8
samsung-a52,02-coded,random_dense,512,512,512,20,11.202865,23.961322,64,128,256,16,8
