device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
samsung-a52,05-final,random_dense,128,128,128,1,0.393854,10.649388,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,2,0.393750,10.652201,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,3,0.396458,10.579441,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,4,0.396718,10.572507,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,5,0.395313,10.610084,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,6,0.393021,10.671959,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,7,0.394375,10.635319,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,8,0.392813,10.677610,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,9,0.394896,10.621288,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,10,0.395938,10.593335,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,11,0.393698,10.653608,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,12,0.547239,7.664483,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,13,0.172187,24.359005,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,14,0.157709,26.595210,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,15,0.155521,26.969374,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,16,0.395521,10.604504,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,17,0.207032,20.259206,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,18,0.155521,26.969374,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,19,0.396146,10.587773,64,128,256,16,8
samsung-a52,05-final,random_dense,128,128,128,20,0.156719,26.763213,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,1,2.454010,13.673307,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,2,2.540208,13.209325,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,3,1.006927,33.323599,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,4,1.010937,33.191417,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,5,2.438021,13.762979,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,6,2.468386,13.593673,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,7,2.496719,13.439411,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,8,2.483541,13.510722,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,9,2.473177,13.567339,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,10,0.956771,35.070494,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,11,1.017395,32.980732,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,12,2.418125,13.876219,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,13,2.515834,13.337300,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,14,1.301198,25.787338,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,15,1.268177,26.458792,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,16,0.959375,34.975304,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,17,1.000573,33.535216,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,18,1.065573,31.489567,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,19,1.111875,30.178241,64,128,256,16,8
samsung-a52,05-final,random_dense,256,256,256,20,1.330834,25.213086,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,1,10.081302,26.627062,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,2,9.918958,27.062868,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,3,9.871406,27.193234,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,4,7.666459,35.014269,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,5,10.363177,25.902815,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,6,9.158750,29.309180,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,7,7.660573,35.041172,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,8,10.057760,26.689388,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,9,7.655156,35.065968,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,10,7.517448,35.708322,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,11,7.669948,34.998341,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,12,10.432969,25.729536,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,13,9.772292,27.469038,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,14,7.603958,35.302070,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,15,7.886771,34.036167,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,16,8.364375,32.092709,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,17,8.383385,32.019937,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,18,9.011667,29.787547,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,19,12.363281,21.712315,64,128,256,16,8
samsung-a52,05-final,random_dense,512,512,512,20,8.264427,32.480831,64,128,256,16,8
