device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
samsung-a52,05-final,random_dense,128,128,128,1,0.227812,18.411251,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,2,0.222188,18.877275,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,3,0.152813,27.447298,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,4,0.199635,21.009863,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,5,0.159167,26.351593,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,6,0.298958,14.029743,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,7,0.169375,24.763418,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,8,0.301094,13.930214,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,9,0.377552,11.109209,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,10,0.245990,17.050709,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,11,0.150729,27.826788,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,12,0.159115,26.360205,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,13,0.158750,26.420813,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,14,0.152083,27.579046,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,15,0.149375,28.079023,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,16,0.148698,28.206862,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,17,0.151302,27.721405,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,18,0.149323,28.088801,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,19,0.150833,27.807602,128,512,512,64,32
samsung-a52,05-final,random_dense,128,128,128,20,0.151666,27.654873,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,1,0.887083,37.825583,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,2,0.880416,38.112020,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,3,1.007396,33.308085,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,4,2.319739,14.464745,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,5,0.878594,38.191055,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,6,0.903229,37.149418,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,7,3.133854,10.707082,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,8,0.899688,37.295631,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,9,0.961458,34.899530,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,10,0.878281,38.204666,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,11,0.910156,36.866682,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,12,0.883230,37.990594,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,13,0.976614,34.357926,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,14,0.955885,35.103001,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,15,0.895989,37.449603,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,16,0.904219,37.108745,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,17,0.889479,37.723692,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,18,0.999687,33.564938,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,19,0.904687,37.089548,128,512,512,64,32
samsung-a52,05-final,random_dense,256,256,256,20,1.876146,17.884766,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,1,7.160625,37.487713,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,2,6.339375,42.344152,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,3,5.629271,47.685652,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,4,7.822916,34.313989,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,5,5.766823,46.548239,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,6,7.639635,35.137210,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,7,5.291146,50.732952,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,8,5.514480,48.678290,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,9,5.456458,49.195917,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,10,5.432239,49.415251,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,11,7.169948,37.438968,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,12,7.365886,36.443064,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,13,9.458073,28.381622,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,14,7.214531,37.207610,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,15,7.341875,36.562248,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,16,5.356250,50.116305,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,17,5.661042,47.418029,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,18,5.722396,46.909626,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,19,7.935885,33.825522,128,512,512,64,32
samsung-a52,05-final,random_dense,512,512,512,20,7.135886,37.617677,128,512,512,64,32
