device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
macbook-m4-pro,04-neon,random_dense,128,128,128,1,0.223125,18.798001,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,2,0.207291,20.233893,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,3,0.200916,20.875908,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,4,0.206958,20.266450,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,5,0.206500,20.311400,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,6,0.192625,21.774453,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,7,0.197916,21.192344,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,8,0.196083,21.390452,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,9,0.196708,21.322488,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,10,0.195084,21.499990,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,11,0.197167,21.272850,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,12,0.192166,21.826463,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,13,0.191708,21.878607,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,14,0.200000,20.971520,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,15,0.191875,21.859565,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,16,0.195125,21.495472,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,17,0.197000,21.290883,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,18,0.200000,20.971520,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,19,0.195667,21.435929,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,20,0.199917,20.980227,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,21,0.222750,18.829648,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,22,0.210833,19.893963,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,23,0.195875,21.413167,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,24,0.196625,21.331489,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,25,0.196750,21.317936,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,26,0.193083,21.722803,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,27,0.200625,20.906188,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,28,0.193875,21.634063,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,128,128,128,29,0.196750,21.317936,256,512,512,16,8
