device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,1,328.113250,6.544946,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,2,328.797959,6.531317,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,3,328.790459,6.531466,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,4,331.402709,6.479982,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,5,327.704500,6.553110,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,6,327.934459,6.548515,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,7,327.270000,6.561810,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,8,329.131458,6.524699,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,9,330.758750,6.492598,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,10,331.121625,6.485483,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,11,330.296958,6.501676,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,12,329.534125,6.516726,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,13,327.852375,6.550154,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,14,341.408792,6.290065,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,15,328.807667,6.531124,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,16,335.625625,6.398450,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,17,346.679625,6.194433,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,18,349.339125,6.147275,256,512,512,16,8
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,19,339.068917,6.333472,256,512,512,16,8
