device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
macbook-m4-pro,05-final,random_dense,128,128,128,1,1.090125,3.847544,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,2,0.921958,4.549344,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,3,1.017416,4.122506,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,4,0.990458,4.234712,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,5,1.033417,4.058675,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,6,0.956917,4.383143,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,7,2.437209,1.720946,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,8,0.984584,4.259976,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,9,1.056958,3.968279,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,10,1.019458,4.114249,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,11,1.021458,4.106193,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,12,1.057125,3.967652,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,13,0.989625,4.238276,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,14,0.987000,4.249548,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,15,0.964791,4.347371,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,16,1.058541,3.962344,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,17,0.988333,4.243817,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,18,1.052916,3.983512,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,19,1.463292,2.866348,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,20,1.865750,2.248053,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,21,2.779917,1.508787,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,22,0.927791,4.520742,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,23,2.753417,1.523309,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,24,2.195416,1.910483,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,25,2.253291,1.861412,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,26,2.600250,1.613039,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,27,2.358083,1.778692,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,28,2.311417,1.814603,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,29,1.421042,2.951569,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,30,2.032291,2.063830,256,512,512,16,8
macbook-m4-pro,05-final,random_dense,128,128,128,31,2.003208,2.093794,256,512,512,16,8
