device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
rpi,04-neon,random_dense,128,128,128,1,0.309661,13.544825,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,2,0.310754,13.497184,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,3,0.309624,13.546443,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,4,0.319198,13.140132,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,5,0.309531,13.550514,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,6,0.309791,13.539141,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,7,0.309605,13.547275,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,8,0.310346,13.514928,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,9,0.309587,13.548062,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,10,0.309809,13.538354,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,11,0.310827,13.494014,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,12,0.309772,13.539971,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,13,0.310884,13.491540,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,14,0.309680,13.543994,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,15,0.620618,6.758270,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,16,0.619359,6.772008,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,17,0.619267,6.773014,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,18,0.619341,6.772205,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,19,0.619063,6.775246,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,20,0.823818,5.091299,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,21,0.796726,5.264425,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,22,0.796541,5.265647,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,23,0.819319,5.119256,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,24,0.796504,5.265892,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,25,0.796116,5.268458,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,26,0.796430,5.266381,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,27,0.796041,5.268955,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,28,0.798393,5.253433,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,29,0.713598,5.877685,128,256,256,16,8
rpi,04-neon,random_dense,128,128,128,30,0.696765,6.019682,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,1,0.817893,5.128182,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,2,0.795856,5.270180,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,3,0.796393,5.266626,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,4,0.796615,5.265158,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,5,0.796522,5.265773,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,6,0.795393,5.273247,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,7,0.796004,5.269200,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,8,0.821022,5.108638,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,9,0.796282,5.267360,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,10,0.795578,5.272021,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,11,0.796949,5.262952,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,12,0.795652,5.271531,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,13,0.821985,5.102653,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,14,0.795744,5.270921,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,15,0.796133,5.268346,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,16,0.795393,5.273247,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,17,0.796393,5.266626,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,18,0.795560,5.272140,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,19,0.796207,5.267856,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,20,0.815504,5.143205,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,21,0.796671,5.264788,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,22,0.795652,5.271531,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,23,0.796486,5.266011,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,24,0.795689,5.271286,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,25,0.821282,5.107020,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,26,0.795430,5.273002,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,27,0.821466,5.105877,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,28,0.806300,5.201915,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,29,0.804875,5.211125,128,256,256,16,8
rpi,04-neon,random_sparse,128,128,128,30,0.804245,5.215207,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,1,0.789708,5.311209,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,2,0.797782,5.257456,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,3,0.815318,5.144378,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,4,0.798152,5.255019,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,5,0.797652,5.258313,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,6,0.797208,5.261242,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,7,0.805190,5.209086,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,8,0.804078,5.216290,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,9,0.805245,5.208730,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,10,0.804208,5.215447,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,11,0.823115,5.095648,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,12,0.804115,5.216050,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,13,0.703895,5.958707,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,14,0.707024,5.932336,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,15,0.704154,5.956515,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,16,0.720821,5.818787,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,17,0.703858,5.959020,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,18,0.804559,5.213171,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,19,0.804078,5.216290,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,20,0.804059,5.216413,128,256,256,16,8
rpi,04-neon,dense_no_zero,128,128,128,21,0.829244,5.057985,128,256,256,16,8
